ds,url,dispute,PanelChair,Panelist2,Panelist3,LADO1,LADO2,LADO3,LADO4,LADO5
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RMEX.pdf&Open=True,EC – Bananas III (Mexico),Stuart Harbinson,Kym Anderson,Christian H√§berli,Werner Zdouc,Christina Schroeder,NA,NA,NA
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RUSA.pdf&Open=True,EC – Bananas III (US),Stuart Harbinson,Kym Anderson,Christian H√§berli,Werner Zdouc,Christina Schroeder,NA,NA,NA
31,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/31R.pdf&Open=True,Canada – Periodicals,Lars Anell,Victor do Prado,Michael Reiterer,Jeffrey Gertler,Janet Chakarian,NA,NA,NA
33,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/33R.pdf&Open=True,US – Wool Shirts and Blouses,Jacques Bourgeois,Robert Arnott,Wilhelm Meier,Gabrielle Marceau,Richard Hughes,NA,NA,NA
34,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/34R.pdf&Open=True,Turkey – Textiles,Wade Armstrong,Luzius Wasescha,Johann Human,Gabrielle Marceau,Carmen Pont,NA,NA,NA
44,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/44R07.pdf&Open=True,Japan – Film,William Rossier,Adrian Macey,Victor do Prado,Jeffrey Gertler,Werner Zdouc,NA,NA,NA
46,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/46R.pdf&Open=True,Brazil – Aircraft,Dariusz Rosati,Akio Shimizu,Kajit Sukhum,Jesse Kreier,Clarisse Morgan,Yves Renouf,Sabrina Shaw,NA
48,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/48RCAN.PDF&Open=True,EC – Hormones (Canada),Thomas Cottier,Peter Palecka,Jun Yokota,Jeffrey Gertler,Joost Pauwelyn,Jo√£o Magalhaes,NA,NA
50,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/50R.pdf&Open=True,India – Patents (US),Thomas Cottier,Douglas Chester,Yanyong Phuangrach,Ichiro Araki,Mathijs Geuze,NA,NA,NA
54,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/64R-03.pdf&Open=True,Indonesia – Autos,Maamoun Abdel-Fattah,Ole Lundby,David John Walker,Gabrielle Marceau,Jesse Kreier,Clarisse Morgan,NA,NA
56,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/56R.pdf&Open=True,Argentina – Textiles and Apparel,Peter Palecka,Heather Forton,Peter May,Gabrielle Marceau,Yves Renouf,NA,NA,NA
58,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/58R.pdf&Open=True,US – Shrimp,Michael Cartland,Carlos Cozendey,Kilian Delbr√ºck,Jeffrey Gertler,Yves Renouf,Mireille Cossy,NA,NA
60,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/60R.pdf&Open=True,Guatemala – Cement I,Klaus Kautzor-Schr√∂der,Gerardo T. Thielen Graterol,Antonio Buencamino,Judith Czako,Guy Evans,NA,NA,NA
62,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/62R.pdf&Open=True,EC – Computer Equipment,Crawford Falconer,Ernesto de la Guardia,Carlos Paranhos,Ichiro Araki,Suja Rishikesh,NA,NA,NA
69,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/69R.pdf&Open=True,EC – Poultry,Wilhelm Meier,Peter May,Madga Shahin,Ichiro Araki,Christina Schroeder,NA,NA,NA
70,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/70R.pdf&Open=True,Canada – Aircraft,David de Pury,Maamoun Abdel-Fattah,Dencho Georgiev,Guy Evans,Clarisse Morgan,NA,NA,NA
72,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/72R.pdf&Open=True,EC – Butter,Attie Swart,Robert Hudec,Claudia Orozco,Yves Renouf,Denby Misurelli,NA,NA,NA
75,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/84R-02.pdf&Open=True,Korea – Alcoholic Beverages,√Öke Linden,Fr√©d√©ric Jenny,Carlos Paranhos,John Kingery,Willie Chatsika,NA,NA,NA
76,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/76R.pdf&Open=True,Japan – Agricultural Products II,Kari Bergholm,Germain Denis,Eirikur Einarsson,Jeffrey Gertler,Joost Pauwelyn,Erik Wijkstrom,NA,NA
79,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/79R.pdf&Open=True,India – Patents (EC),Stuart Harbinson,Douglas Chester,Yanyong Phuangrach,Ichiro Araki,Mathijs Geuze,NA,NA,NA
87,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/110R.pdf&Open=True,Chile – Alcoholic Beverages,Wilhelm Meier,Mohan Kumar,Colin McCarthy,John Kingery,Willie Chatsika,Kazumochi Kometani,NA,NA
90,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/90R.pdf&Open=True,India – Quantitative Restrictions,Celso Lafer,Paul Demaret,Richard Snape,Yves Renouf,Kerry Allbeury,Karen McCusker,NA,NA
98,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/98R.pdf&Open=True,Korea – Dairy,Ole Lundby,Leora Blumberg,Luz Elena Reyes,Gabrielle Marceau,Raul Torres,NA,NA,NA
99,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/99R.pdf&Open=True,US – DRAMS,Crawford Falconer,Meinhard Hilf,Marta Lemme,Guy Evans,Raul Torres,NA,NA,NA
103,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/103R.pdf&Open=True,Canada – Dairy,Tommy Koh,Guillermo Aguilar Alvarez,Ernst-Ulrich Petersmann,Jeffrey Gertler,Joost Pauwelyn,Paul Shanahan,Majda Petschen,NA
108,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/108R.pdf&Open=True,US – FSC,Crawford Falconer,Didier Chambovey,Seung Wha Chang,Jesse Kreier,Susan Hainsworth,NA,NA,NA
114,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/114R.pdf&Open=True,Canada – Pharmaceutical Patents,Robert Hudec,Mih√°ly Ficsor,Jaime Sepulveda,John Kingery,Mathijs Geuze,NA,NA,NA
121,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/121R.pdf&Open=True,Argentina – Footwear (EC),John McNab,Claudia Orozco,Laurence Wiedmer,Werner Zdouc,Clarisse Morgan,NA,NA,NA
122,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/122R.pdf&Open=True,Thailand – H–Beams,John Jackson,Roberto Azevedo,Gilles Gauthier,Raul Torres,Clarisse Morgan,NA,NA,NA
126,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/126R.pdf&Open=True,Australia – Automotive Leather II,Carmen Luz Guarda,Jean‚ÄìFran√ßois Bellis,Wieslaw Karsz,Judith Czako,Clarisse Morgan,Sameena Dost,NA,NA
132,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/132R.pdf&Open=True,Mexico – Corn Syrup,Christer Manhusen,Gerald Salembier,Edwin Vermulst,Judith Czako,Jorge Miranda,NA,NA,NA
135,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/135R-02.pdf&Open=True,EC – Asbestos,Adrian Macey,William Ehlers,√Öke Linden,Yves Renouf,Mireille Cossy,NA,NA,NA
136,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/136R.pdf&Open=True,US – 1916 Act (EC),Johann Human,Dimitrij Grcar,Eugeniusz Piontek,Yves Renouf,Reto Malacrida,NA,NA,NA
138,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/138R-00.pdf&Open=True,US – Lead and Bismuth II,Ole Lundby,Paul O'Connor,Arie Reich,Guy Evans,Jorge Miranda,NA,NA,NA
139,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/142R.pdf&Open=True,Canada – Autos,Ronald Sabor√≠o Soto,Timothy Groser,Rudolf Ramsauer,Jeffrey Gertler,Sameena Dost,Mary Rundle,NA,NA
141,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/141R-00.pdf&Open=True,EC – Bed Linen,Dariusz Rosati,Marta Lemme,Paul O'Connor,Judith Czako,Sameena Dost,NA,NA,NA
146,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/175R.pdf&Open=True,India – Autos,John Weekes,Gloria Pe√±a,Jeffrey Waincymer,Kerry Allbeury,Hyun Kim,Karen McCusker,NA,NA
152,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/152R.pdf&Open=True,US – Section 301 Trade Act,David Hawes,Terje Johannessen,Joseph Weiler,Joost Pauwelyn,Kazumochi Kometani,NA,NA,NA
155,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/155R.pdf&Open=True,Argentina – Hides and Leather,H.E. Roger Farrell,Victor do Prado,Sandor Simon,John Kingery,Markus Jelitto,Reto Malacrida,NA,NA
156,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/156R.pdf&Open=True,Guatemala – Cement II,Johann Human,Antonio Buencamino,Oscar Hern√°ndez,Raul Torres,Guy Evans,NA,NA,NA
160,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/160R-00.pdf&Open=True,US – Section 110(5) Copyright Act,Carmen Luz Guarda,I. F. Sheppard,A.V. Ganesan,Werner Zdouc,Hannu Wager,NA,NA,NA
161,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/161R.pdf&Open=True,Korea – Various Measures on Beef,Lars Anell,Paul Demaret,Alan Matthews,Gabrielle Marceau,Christina Schroeder,NA,NA,NA
162,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/162R-01.pdf&Open=True,US – 1916 Act (Japan),Johann Human,Dimitrij Grcar,Eugeniusz Piontek,Yves Renouf,Reto Malacrida,NA,NA,NA
163,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/163R.pdf&Open=True,Korea – Procurement,Michael Cartland,Peter‚ÄìArmin Trepte,Marie Gabrielle Ineichen-Fleisch,John Kingery,Vesile Kulacoglu,Dariel De Sousa,NA,NA
165,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/165R.pdf&Open=True,US – Certain EC Products,Hugh McPhail,Leora Blumberg,Peter Palecka,Gabrielle Marceau,Kazumochi Kometani,NA,NA,NA
166,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/166R.pdf&Open=True,US – Wheat Gluten,Maamoun Abdel-Fattah,Usha Dwarka‚ÄìCanabady,Alvaro Espinoza,Susan Hainsworth,Jasper Wauters,NA,NA,NA
170,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/170R-00.pdf&Open=True,Canada – Patent Term,Stuart Harbinson,Sergio Escudero,Alberto Heimler,Hyun Kim,Matthew Kennedy,NA,NA,NA
174,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/174R.pdf&Open=True,EC – Trademarks and Geographical Indications,Miguel Rodr√≠guez Mendoza,Seung Wha Chang,Peter Kam-fai Cheung,Matthew Kennedy,Lauro Locks,NA,NA,NA
176,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/176R.pdf&Open=True,US – Section 211 Appropriations Act,Wade Armstrong,Armand de Mestral,Fran√ßois Dessemontet,Hyun Kim,P.J. Kuijper,Hannu Wager,NA,NA
177,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/178R-00.pdf&Open=True,US – Lamb,Tommy Koh,Meinhard Hilf,Shishir Priyadarshi,Werner Zdouc,Clarisse Morgan,NA,NA,NA
179,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/179R-00.pdf&Open=True,US – Stainless Steel,Antonio Buencamino,Bruce Cullen,Enie Neri de Ross,Jesse Kreier,Jorge Miranda,NA,NA,NA
184,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/184R-00.pdf&Open=True,US – Hot-Rolled Steel,Harsha Singh,Yanyong Phuangrach,Lidia de Vico,Jesse Kreier,Jorge Miranda,NA,NA,NA
189,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/189R.pdf&Open=True,Argentina – Ceramic Tiles,Hugh McPhail,Gilles Gauthier,Stephen Powell,Jasper Wauters,Jorge Miranda,NA,NA,NA
192,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/192R.pdf&Open=True,US – Cotton Yarn,Wilhelm Meier,Carlos Paranhos,Virachai Plasai,Kazumochi Kometani,John Kingery,Richard Hughes,NA,NA
194,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/194R-00.pdf&Open=True,US – Export Restraints,Michael Cartland,Scott Gallacher,Richard Plender,Clarisse Morgan,Sameena Dost,NA,NA,NA
202,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/202R-00.pdf&Open=True,US – Line Pipe,Dariusz Rosati,Roberto Azevedo,Eduardo Bianchi,Guy Evans,Raul Torres,NA,NA,NA
204,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/204R.pdf&Open=True,Mexico – Telecoms,Ernst-Ulrich Petersmann,Raymond Tam,Bj√∂rn Wellenius,Hamid Mamdouh,Maria Pereyra Friedrichsen,Lee Tuthill,Peter Morrison,Markus Jelitto
206,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/206R-00.pdf&Open=True,US – Steel Plate,Timothy Groser,Salmiah Ramli,Luz Elena Reyes,Judith Czako,Sahar Hosni,NA,NA,NA
207,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/207R.pdf&Open=True,Chile – Price Band System,Hardeep Puri,Ho-Young Ahn,Michael Gifford,John Kingery,Gaetan Verhoosel,Maria Pereyra Friedrichsen,NA,NA
211,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/211R-00.pdf&Open=True,Egypt – Steel Rebar,Peter Palecka,Daniel Moulis,Virachai Plasai,Johann Human,Clarisse Morgan,NA,NA,NA
212,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/212R.pdf&Open=True,US –  Countervailing Measures on Certain EC Products,Gilles Gauthier,Marie Gabrielle Ineichen-Fleisch,Michael Mulgrew,Gabrielle Marceau,Maria Pereyra Friedrichsen,Guy Evans,NA,NA
213,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/213R.pdf&Open=True,US – Carbon Steel,Hugh McPhail,Ronald W. Erdmann,Wieslaw Karsz,Sameena Dost,Judith Czako,Muslum Yilmaz,NA,NA
217,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/234R-00.pdf&Open=True,US – Offset Act (Byrd Amendment),Luzius Wasescha,Maamoun Abdel-Fattah,William Falconer,Guy Evans,Jasper Wauters,NA,NA,NA
219,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/219R-00.pdf&Open=True,EC – Tube and Pipe Fittings,Maamoun Abdel-Fattah,Deborah Milstein,Bruce Cullen,Susan Hainsworth,Raul Torres,NA,NA,NA
221,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/221R.pdf&Open=True,US – Section 129(c)(1) URAA,Claudia Orozco,Simon Farbenbloom,Edmond McGovern,Jeffrey Gertler,Reto Malacrida,NA,NA,NA
222,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/222R-00.pdf&Open=True,Canada – Aircraft Credits and Guarantees,William J. Davey,Seung Wha Chang,Usha Dwarka‚ÄìCanabady,Guy Evans,Sameena Dost,Yves Renouf,NA,NA
231,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/231R.pdf&Open=True,EC – Sardines,Margaret Liang,Merit Janow,Mohan Kumar,Hyun Kim,Gaetan Verhoosel,Alejandro Gamboa Alder,NA,NA
236,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/236R-00.pdf&Open=True,US – Softwood Lumber III,Dariusz Rosati,Robert Arnott,Gonzalo Biggs,Jasper Wauters,Clarisse Morgan,NA,NA,NA
238,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/238R.pdf&Open=True,Argentina – Preserved Peaches,Elaine Feldman,Jorge Castro Bernieri,Mateo Diego-Fern√°ndez,Matthew Kennedy,Maria Pereyra Friedrichsen,NA,NA,NA
241,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/241R-00.pdf&Open=True,Argentina – Poultry Anti-Dumping Duties,Harsha Singh,Michael Mulgrew,Enie Neri de Ross,Guy Evans,Marius Bordalba,NA,NA,NA
243,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/243R.pdf&Open=True,US – Textiles Rules of Origin,Lars Anell,Elizabeth Chelliah,Donald M. McRae,Reto Malacrida,Eki Kim,NA,NA,NA
244,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/244R-00.pdf&Open=True,US – Corrosion-Resistant Steel Sunset Review,Dariusz Rosati,Martin Garcia,David Unterhalter,Muslum Yilmaz,Susan Hainsworth,NA,NA,NA
245,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/245R.pdf&Open=True,Japan – Apples,Michael Cartland,Christian H√§berli,Kathy-Ann Brown,Kerry Allbeury,Yves Renouf,Gretchen Stanton,Michael Roberts,NA
246,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/246R-00.pdf&Open=True,EC – Tariff Preferences,Julio Lacarte-Mur√≥,Marsha Echols,Akio Shimizu,Jeffrey Gertler,Xuewei Feng,Shishir Priyadarshi,Ingela Nilsson,NA
248,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/248R-00.pdf&Open=True,US – Steel Safeguards,Stefan Johannesson,Mohan Kumar,Margaret Liang,Gabrielle Marceau,Dariel De Sousa,NA,NA,NA
257,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/257R-00.pdf&Open=True,US – Softwood Lumber IV,Elbio Rosselli,Wieslaw Karsz,Remo Moretta,Jasper Wauters,Clarisse Morgan,NA,NA,NA
264,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/264R-00.pdf&Open=True,US – Softwood Lumber V,Harsha Singh,Gerhard Hannes Welge,Adrian Makuc,Johann Human,Marius Bordalba,NA,NA,NA
265,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/265R.pdf&Open=True,EC – Export Subsidies on Sugar,Warren Lavorel,Gonzalo Biggs,Naoshi Hirose,Gabrielle Marceau,Daria Goldstein,Christina Schroeder,Paul Shanahan,Hiromi Yano
267,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/267R.pdf&Open=True,US – Upland Cotton,Dariusz Rosati,Mario Matus,Daniel Moulis,Susan Hainsworth,Matthew Kennedy,Hiromi Yano,NA,NA
268,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/268R-00.pdf&Open=True,US – Oil Country Tubular Goods Sunset Reviews,Paul O'Connor,Bruce Cullen,Faizullah Khilji,Muslum Yilmaz,Sahar Hosni,NA,NA,NA
269,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/269R-00.pdf&Open=True,EC – Chicken Cuts,Hugh McPhail,Elizabeth Chelliah,Manzoor Ahmad,Maria Pereyra Friedrichsen,Jorge Castro,Suja Rishikesh Mavroidis,NA,NA
273,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/273R-00.pdf&Open=True,Korea – Commercial Vessels,Julio Lacarte-Mur√≥,Gilles Gauthier,Ana Novik Assael,Guy Evans,Clarisse Morgan,NA,NA,NA
276,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/276R-00.pdf&Open=True,Canada – Wheat Exports and Grain Imports,Claudia Orozco,Alan Matthews,Hanspeter Tsch√§ni,Reto Malacrida,Dariel De Sousa,Raul Torres,NA,NA
277,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/277R-00.pdf&Open=True,US – Softwood Lumber VI,Hardeep Puri,Paul O'Connor,Luz Elena Reyes,Judith Czako,Sahar Hosni,NA,NA,NA
282,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/282R-00.pdf&Open=True,US – Antidumping Measures on Oil Country Tubular Goods,Christer Manhusen,Alistair James Stewart,Stephanie Sin Far Man,Judith Czako,Raul Torres,NA,NA,NA
283,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/283R.pdf&Open=True,EC – Export Subsidies on Sugar,Warren Lavorel,Gonzalo Biggs,Naoshi Hirose,Gabrielle Marceau,Daria Goldstein,Christina Schroeder,Paul Shanahan,Hiromi Yano
285,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/285R-00.pdf&Open=True,US – Gambling Services,B.K. Zutshi,Virachai Plasai,Richard Plender,Gabrielle Marceau,Dariel De Sousa,Mireille Cossy,Peter Morrison,NA
286,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/286R-00.pdf&Open=True,EC – Chicken Cuts,Hugh McPhail,Elizabeth Chelliah,Manzoor Ahmad,Maria Pereyra Friedrichsen,Jorge Castro,Suja Rishikesh Mavroidis,NA,NA
290,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/290R.pdf&Open=True,EC – Trademarks and Geographical Indications,Miguel Rodr√≠guez Mendoza,Seung Wha Chang,Peter Kam-fai Cheung,Matthew Kennedy,Lauro Locks,NA,NA,NA
291,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/293R-00.pdf&Open=True,EC – Approval and Marketing of Biotech Products,Christian H√§berli,Mohan Kumar,Akio Shimizu,Reto Malacrida,Akihiko Tamura,Gretchen Stanton,Marie-Isabelle Pellan,NA
295,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/295R-00.pdf&Open=True,Mexico – Anti-Dumping Measures on Beef and Rice,Crawford Falconer,Marta Lemme,Enie Neri de Ross,Jasper Wauters,Hiromi Yano,NA,NA,NA
296,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/296R-00.pdf&Open=True,US – Countervailing Duty Investigation on DRAMs,Hardeep Puri,John Adank,Michael Mulgrew,Guy Evans,Victor do Prado,NA,NA,NA
299,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/299R-00.pdf&Open=True,EC – Countervailing Measures on DRAM Chips,Gary Clyde Hufbauer,Scott Gallacher,Thinus Jacobsz,Jasper Wauters,Victor do Prado,NA,NA,NA
301,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/301R.pdf&Open=True,EC – Commercial Vessels,William J. Davey,Donald M. McRae,Daniel Jacobus Jordaan,Mark Koulen,Kerry Allbeury,NA,NA,NA
